group_name,pts,ast,reb,player1,player2
G. Dieng - K. Huerter,12.1,2.6,6.1,K. Huerter,G. Dieng
L. Williams - K. Huerter,13.4,2.9,5.9,K. Huerter,L. Williams
D. Wright - D. Hunter,11.2,2.4,5.0,D. Hunter,D. Wright
L. Williams - J. Collins,11.2,2.6,4.4,J. Collins,L. Williams
G. Dieng - B. Bogdanovic,11.6,2.7,4.1,B. Bogdanovic,G. Dieng
L. Williams - T. Young,11.0,2.1,4.5,T. Young,L. Williams
G. Dieng - T. Young,9.9,2.0,3.5,T. Young,G. Dieng
L. Stephenson - O. Okongwu,11.0,1.5,4.5,O. Okongwu,L. Stephenson
S. Hill - B. Bogdanovic,9.2,2.0,3.6,B. Bogdanovic,S. Hill
L. Williams - D. Hunter,7.4,1.4,3.2,D. Hunter,L. Williams
G. Dieng - D. Hunter,6.6,1.6,2.0,D. Hunter,G. Dieng
C. Capela - O. Okongwu,13.0,4.0,3.0,O. Okongwu,C. Capela
G. Dieng - O. Okongwu,6.0,1.5,2.0,O. Okongwu,G. Dieng
L. Stephenson - C. Capela,6.0,0.0,1.0,C. Capela,L. Stephenson
L. Stephenson - T. Young,5.0,2.0,1.5,T. Young,L. Stephenson
K. Knox II - T. Young,2.8,0.3,2.3,T. Young,K. Knox II
K. Knox II - D. Hunter,2.3,0.0,2.0,D. Hunter,K. Knox II
T. Luwawu-Cabarrot - D. Hunter,1.5,0.3,0.5,D. Hunter,T. Luwawu-Cabarrot
