group_name,team_abbreviation,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank
L. Stephenson - G. Dieng - J. Collins,ATL,3,1,2,0.333,2.3,2.7,4.7,0.571,0.7,1.0,0.667,0.3,0.3,1.0,0.7,1.7,2.3,2.0,0.7,0.3,0.0,0.7,1.7,1.0,6.3,1.7,249,257,358,405,501,381,456,96,462,503,60,488,496,1,351,490,463,304,204,403,361,460,339,399,427,165
L. Stephenson - J. Collins - S. Cooper,ATL,1,0,1,0.0,2.3,1.0,3.0,0.333,1.0,1.0,1.0,3.0,6.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,5.0,408,490,144,490,491,522,521,502,289,503,1,134,49,461,239,518,471,563,1,450,361,1,178,146,436,53
T. Luwawu-Cabarrot - O. Okongwu - S. Mays,ATL,5,2,3,0.4,2.3,1.8,4.0,0.45,0.8,2.4,0.333,1.0,1.2,0.833,0.4,3.0,3.4,1.2,1.0,0.0,0.2,0.2,0.8,0.6,5.4,2.2,194,197,442,376,502,483,474,311,445,391,368,402,422,270,412,296,345,449,257,450,339,284,166,500,480,131
T. Luwawu-Cabarrot - S. Mays - S. Cooper,ATL,6,5,1,0.833,2.3,1.5,3.8,0.391,0.8,2.2,0.385,0.2,0.3,0.5,0.0,2.0,2.0,1.3,1.0,0.2,0.0,0.5,0.5,0.3,4.0,-0.8,171,118,144,145,503,496,501,443,440,412,270,495,496,461,451,409,471,433,257,446,361,385,118,528,519,380
T. Luwawu-Cabarrot - T. Young - S. Mays,ATL,1,0,1,0.0,2.3,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,408,490,144,490,497,598,521,598,530,308,530,497,502,497,451,614,618,563,1,450,361,1,1,541,608,648
D. Gallinari - S. Hill - T. Young,ATL,5,2,3,0.4,2.2,1.4,4.0,0.35,0.6,1.0,0.6,0.8,0.8,1.0,0.6,1.4,2.0,1.0,0.6,0.4,0.2,0.2,0.6,1.2,4.2,-0.6,194,197,442,376,510,509,474,497,474,503,74,457,470,1,370,511,471,457,202,393,339,284,145,386,518,373
G. Dieng - B. Bogdanovic - K. Huerter,ATL,2,1,1,0.5,2.2,2.0,3.5,0.571,0.5,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,0.0,0.0,0.0,1.0,0.5,5.5,-1.0,311,257,144,240,509,422,505,96,478,503,99,402,428,1,451,518,549,403,1,450,361,1,178,505,470,386
G. Dieng - D. Wright - T. Young,ATL,5,2,3,0.4,2.2,1.8,4.0,0.45,1.2,2.0,0.6,0.6,0.8,0.75,0.4,1.2,1.6,1.6,0.2,0.2,0.6,0.0,1.0,0.6,5.4,0.8,194,197,442,376,508,483,474,311,273,417,74,475,470,373,412,516,533,400,142,443,195,1,178,500,480,235
L. Williams - J. Collins - K. Huerter,ATL,13,5,8,0.385,2.2,1.9,4.1,0.472,0.5,1.7,0.318,0.5,0.6,0.875,0.4,1.5,1.8,1.5,0.7,0.5,0.4,0.2,1.2,0.8,4.9,-1.2,105,118,568,389,507,479,472,267,477,474,426,477,486,208,416,510,526,424,221,386,275,275,277,481,505,427
L. Williams - T. Luwawu-Cabarrot - T. Young,ATL,3,1,2,0.333,2.2,1.3,5.0,0.267,0.0,2.0,0.0,1.3,1.7,0.8,1.0,2.3,3.3,1.0,0.7,0.7,0.7,0.0,1.0,1.0,4.0,0.0,249,257,358,405,504,513,418,556,530,417,530,375,378,314,239,394,348,457,204,283,173,1,178,399,519,285
