group_name,team_abbreviation,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank
D. Gallinari - C. Capela - B. Bogdanovic - T. Young - D. Hunter,ATL,8,4,4,0.5,1.6,1.5,3.3,0.462,0.3,1.1,0.222,0.6,0.6,1.0,0.4,1.3,1.6,0.5,0.3,0.1,0.4,0.1,0.8,0.6,3.9,-0.4,13,17,325,142,214,176,174,159,185,171,176,172,188,1,132,175,191,212,149,134,79,242,151,205,203,181
D. Gallinari - D. Wright - T. Luwawu-Cabarrot - J. Collins - T. Young,ATL,3,0,3,0.0,1.6,0.3,2.0,0.167,0.3,1.7,0.2,0.7,0.7,1.0,0.0,0.3,0.3,0.3,1.0,0.7,0.0,0.0,0.3,0.3,1.7,-3.7,54,204,313,204,216,273,231,269,179,154,179,167,181,1,148,268,284,228,204,90,109,1,123,226,279,302
D. Gallinari - G. Dieng - D. Wright - K. Huerter - T. Young,ATL,3,1,2,0.333,1.6,1.3,3.0,0.444,1.0,1.7,0.6,0.3,0.7,0.5,0.0,0.7,0.7,1.3,0.0,0.0,0.3,0.0,0.7,0.7,4.0,0.7,54,61,275,181,209,186,175,170,61,154,45,186,181,172,148,255,273,123,1,137,80,1,148,202,181,126
D. Gallinari - S. Hill - C. Capela - K. Huerter - T. Young,ATL,2,0,2,0.0,1.6,0.5,4.5,0.111,0.5,1.0,0.5,0.0,0.0,0.0,1.5,0.0,1.5,0.0,0.5,0.5,0.0,0.0,1.0,0.5,1.5,-3.0,76,204,275,204,218,262,134,275,164,172,54,194,198,194,49,272,193,235,164,96,109,1,157,208,280,276
L. Williams - C. Capela - D. Wright - K. Huerter - C. Reddish,ATL,1,1,0,1.0,1.6,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,123,61,1,1,216,118,139,106,190,266,190,194,198,194,20,178,84,235,1,137,109,1,1,115,181,99
L. Williams - J. Collins - K. Huerter - T. Young - O. Okongwu,ATL,1,1,0,1.0,1.6,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,-1.0,123,61,1,1,213,195,175,212,190,266,190,194,198,194,148,178,202,130,1,137,109,293,157,115,238,192
S. Hill - C. Capela - B. Bogdanovic - T. Young - C. Reddish,ATL,1,1,0,1.0,1.6,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,-3.0,123,61,1,1,218,277,175,277,190,172,190,194,198,194,56,102,84,235,300,137,109,293,157,115,295,276
D. Gallinari - C. Capela - D. Wright - K. Huerter - C. Reddish,ATL,4,2,2,0.5,1.5,1.3,2.5,0.5,0.3,0.8,0.333,0.5,0.5,1.0,0.0,1.3,1.3,0.8,0.5,0.0,0.3,0.0,0.8,0.8,3.3,0.0,39,35,275,142,231,190,221,106,185,248,131,174,190,1,148,175,200,206,164,137,91,1,151,199,208,139
D. Gallinari - S. Hill - B. Bogdanovic - D. Wright - C. Reddish,ATL,1,0,1,0.0,1.5,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,-2.0,123,204,119,204,225,195,175,212,61,103,54,194,198,194,148,178,202,130,204,137,109,293,1,231,211,240
D. Gallinari - T. Luwawu-Cabarrot - T. Young - C. Reddish - O. Okongwu,ATL,1,0,1,0.0,1.5,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-6.0,123,204,119,204,227,195,175,212,190,172,190,194,198,194,148,272,288,235,1,137,109,1,1,231,238,328
